participant_id,treatment,image_id,entropy,albox_mean,iou,change_size,changed
10,baseline,709,2.77042388916e-4,0.8981750000000002,0.8649,0.1351,1
10,baseline,626,5.4836273193359375e-6,1.786625,0.93767,0.062330000000000003,1
10,baseline,626,-0,1.172,0.883539,0.116461,1
10,baseline,626,9.959936141967772e-5,0.7932,1,0,0
10,baseline,626,9.459257125854492e-5,1.118275,0.961141,0.038859,1
10,baseline,626,0.18701171875,0.9071,1,0,0
10,baseline,232,8.863210678100586e-5,0.7208249999999999,0.86,0.14,1
10,baseline,232,-0,0.7862750000000001,0.9025,0.0975,1
10,baseline,232,0.0034332275390625,1.1504,0.716935,0.283065,1
10,baseline,809,5.4836273193359375e-6,4.58935,0.930911,0.069089,1
10,baseline,809,0.0033283233642578,0.750125,1,0,0
10,baseline,809,0.0031337738037109,2.9629,0.894051,0.105949,1
10,baseline,809,6.775856018066e-4,3.811525,0.455,0.545,1
10,baseline,809,0.07806396484375,3.783675,1,0,0
10,baseline,809,0.0360107421875,3.02685,1,0,0
10,baseline,809,7.781982421875e-4,0.9147,1,0,0
10,baseline,809,0.0012235641479492,0.87025,1,0,0
10,baseline,809,0.140869140625,2.829575,1,0,0
10,baseline,809,1.1015625,1.677025,1,0,0
10,baseline,809,0.76123046875,1.168225,1,0,0
10,baseline,597,0.0018777847290039,2.427725,0.955285,0.044715,1
10,baseline,597,5.4836273193359375e-6,1.5314,0.902089,0.097911,1
10,baseline,597,0.0146713256835937,3.625025,1,0,0
10,baseline,597,9.363889694213869e-5,0.9939,0.939977,0.060023,1
10,baseline,597,1.755952835083e-4,2.117675,1,0,0
10,baseline,597,0.11114501953125,9.471675,1,0,0
10,baseline,597,0.1612548828125,1.54005,1,0,0
10,baseline,597,0.330078125,1.77295,0.9,0.1,1
10,baseline,597,0.2481689453125,1.427625,1,0,0
10,baseline,597,8.344650268554e-4,1.0647,1,0,0
10,baseline,597,1.261234283447e-4,0.686275,0.769468,0.230532,1
10,baseline,597,0.09039306640625,6.880375,0.876596,0.123404,1
10,baseline,279,4.738569259643555e-5,1.25975,0.896825,0.103175,1
10,baseline,279,2.322196960449e-4,1.216175,0.8649,0.1351,1
10,baseline,279,0.019256591796875,1.1272,0.876952,0.123048,1
10,baseline,279,0.10089111328125,0.961925,1,0,0
10,baseline,279,0.76953125,1.5559,0.92,0.08,1
10,baseline,279,0.0093917846679687,0.8681500000000001,0.743089,0.256911,1
10,baseline,279,3.399848937988e-4,2.169675,0.969996,0.030004,1
10,baseline,36,3.4332275390625e-5,1.034775,0.96,0.04,1
10,baseline,36,9.360313415527e-4,0.7286250000000001,0.879886,0.120114,1
10,baseline,36,0.25830078125,0.696625,1,0,0
10,baseline,36,0.1220703125,1.08765,1,0,0
10,baseline,36,1.571178436279e-4,0.956775,1,0,0
10,baseline,36,0.0018777847290039,1.347425,0.962722,0.037278,1
10,baseline,36,8.258819580078e-4,2.317125,0.85704,0.14296,1
10,baseline,594,-0,0.499275,0.868852,0.131148,1
10,baseline,594,0.0182037353515625,0.64625,0.88,0.12,1
10,baseline,594,0.89013671875,1.325675,0.744665,0.255335,1
10,baseline,594,0.2447509765625,1.076425,0.685915,0.314085,1
10,baseline,601,0.374267578125,0.8379000000000001,1,0,0
10,baseline,601,0.0154342651367187,0.5397000000000001,0.79,0.21,1
10,baseline,601,0.030120849609375,0.7406250000000001,1,0,0
10,baseline,601,0.0789794921875,0.84485,0.419001,0.580999,1
10,baseline,216,1.3709068298339844e-6,0.581325,0.910112,0.089888,1
10,baseline,216,2.7418136596679688e-06,1.2356,0.892641,0.107359,1
10,baseline,216,2.157688140869141e-5,0.66835,0.872514,0.127486,1
10,baseline,216,4.365444183349e-4,0.742925,1,0,0
10,baseline,216,0.24365234375,0.856325,0.98,0.02,1
10,baseline,724,8.684396743774414e-5,0.5777749999999999,0.83152,0.16848,1
10,baseline,724,0.1895751953125,1.117425,0,1,1
10,baseline,724,8.189678192138672e-5,0.6154999999999999,0.92,0.08,1
10,baseline,724,3.165006637573242e-5,0.3717499999999999,0.878788,0.121212,1
10,baseline,754,0.09271240234375,3.790025,0.808893,0.191107,1
10,baseline,754,1.366138458251e-4,1.242675,0.725172,0.274828,1
10,baseline,754,2.568960189819336e-5,0.879275,0.88531,0.11469,1
10,baseline,754,1.537799835205078e-5,1.1118,0.842823,0.157177,1
10,baseline,754,0.56103515625,4.703125,1,0,0
10,baseline,754,0.132080078125,2.255125,1,0,0
10,baseline,754,0.037567138671875,0.708,0.935691,0.064309,1
10,baseline,754,0.0234222412109375,0.86205,1,0,0
29,baseline,359,0.29052734375,0.7756500000000001,0.907055,0.092945,1
29,baseline,359,0.002206802368164,0.6077250000000001,0.88,0.12,1
29,baseline,359,4.81367111206e-4,0.6824749999999999,0.93,0.07,1
29,baseline,303,9.059906005859377e-6,0.8331,0.928216,0.071784,1
29,baseline,303,0.0051383972167968,1.0315,0.828,0.172,1
29,baseline,303,8.950233459472e-4,1.622075,0.713506,0.286494,1
29,baseline,303,0.032470703125,2.0176,0.518946,0.481054,1
29,baseline,303,0.486572265625,2.7676,1,0,0
29,baseline,303,0.0545654296875,2.0454,0.539743,0.460257,1
29,baseline,303,0.0092010498046875,0.997425,1,0,0
29,baseline,787,0.880859375,3.197275,0.374479,0.625521,1
29,baseline,787,5.835294723510742e-5,0.8971,0.904536,0.095464,1
29,baseline,787,2.866983413696289e-5,0.613575,0.82719,0.17281,1
29,baseline,787,-0,0.482,0.960032,0.039968,1
29,baseline,787,0.45703125,1.029775,1,0,0
29,baseline,787,5.364418029785156e-6,0.51015,0.809057,0.190943,1
29,baseline,787,0.014923095703125,1.5224749999999998,1,0,0
29,baseline,208,2.8789043426513672e-5,1.73535,0.879058,0.120942,1
29,baseline,208,0.0012903213500976,1.4951249999999998,0.934765,0.065235,1
29,baseline,208,1.162886619567e-4,1.7068,0.950577,0.049423,1
29,baseline,341,0.0022811889648437,1.58325,0.889758,0.110242,1
29,baseline,341,0.055938720703125,5.550050000000001,0.245362,0.754638,1
29,baseline,341,0.024932861328125,3.990725,1,0,0
29,baseline,341,0.01025390625,3.019025,1,0,0
29,baseline,341,0.008697509765625,2.55785,1,0,0
29,baseline,341,0.0301971435546875,2.67385,0.969759,0.030241,1
29,baseline,341,0.0050086975097656,3.1640749999999995,1,0,0
29,baseline,341,2.541542053222e-4,3.272475,0.8256,0.1744,1
29,baseline,1,0.052947998046875,0.5523,0.859048,0.140952,1
29,baseline,1,0.056121826171875,0.7426750000000001,0.7569,0.2431,1
29,baseline,1,0.482666015625,1.643075,0.84,0.16,1
29,baseline,449,0.0021076202392578,0.5674,0.85441,0.14559,1
29,baseline,449,1.114606857299e-4,0.642325,0.909464,0.090536,1
29,baseline,449,9.560585021972e-4,0.9353,0.86,0.14,1
29,baseline,449,3.761053085327149e-5,0.4782749999999999,0.853485,0.146515,1
29,baseline,449,1.3037109375,1.6501,1,0,0
29,baseline,449,0.39794921875,1.5078,0,1,1
29,baseline,107,8.106231689453125e-6,2.57715,0.924238,0.075762,1
29,baseline,107,1.02162361145e-4,1.664775,0.902371,0.097629,1
29,baseline,107,0.0159454345703125,0.918825,0.772821,0.227179,1
29,baseline,107,1.3709068298339844e-6,0.6803250000000001,0.964338,0.035662,1
29,baseline,107,1.732110977172e-4,0.8082250000000001,0.95996,0.04004,1
29,baseline,107,0.0081329345703125,0.750475,0.91812,0.08188,1
29,baseline,107,0.5439453125,1.03725,1,0,0
29,baseline,243,3.68595123291e-4,0.688975,0.98,0.02,1
29,baseline,243,0.0017042160034179,0.822125,0.984724,0.015276,1
29,baseline,243,7.414817810058e-4,0.79945,0.93,0.07,1
29,baseline,243,0.2215576171875,1.624275,0.643071,0.356929,1
29,baseline,243,6.380081176757e-4,1.2218,0.8232,0.1768,1
29,baseline,258,0.123291015625,0.929075,1,0,0
29,baseline,258,4.631280899047852e-5,1.135775,1,0,0
29,baseline,258,7.337331771850586e-5,0.9381,1,0,0
29,baseline,258,1.702308654785e-4,1.061775,1,0,0
29,baseline,258,0.246337890625,1.9219,1,0,0
29,baseline,194,0.0015621185302734,0.5070250000000001,0.990099,0.009901,0
29,baseline,194,0.0029449462890625,0.6537250000000001,0.946667,0.053333,1
29,baseline,194,0.2322998046875,1.887675,1,0,0
29,baseline,405,1.6450881958007812e-05,1.3991749999999998,0.8836,0.1164,1
29,baseline,405,0.0081939697265625,1.21895,1,0,0
29,baseline,405,0.087646484375,0.8133,0.824167,0.175833,1
29,baseline,405,0.0026531219482421,0.6858,0.93,0.07,1
29,baseline,405,0.05316162109375,0.833125,0.862078,0.137922,1
29,baseline,405,0.357666015625,0.8154250000000001,1,0,0
29,baseline,651,0.0011758804321289,0.673675,1,0,0
29,baseline,651,0.0012063980102539,2.255875,0.921624,0.078376,1
29,baseline,651,0.008392333984375,3.8574,1,0,0
29,baseline,651,0.0494384765625,2.8091,1,0,0
